No.,Title,Venue,Year,Author,类比阶段【73】【74】,,,,Create Process,,,,,,,类比类型（把定义写清楚）也要标记好文章,,,,,,自动化程度（Assist (人机筛选结合) < Augment (Co-create人机相互刺激) < Automate (机器自主迭代) 90%）,specific Domain,大分类（按照行业分类）creative industires/intelligent manufacturing/education and service indusctires,Theory/Techniques/Application(Contribution Category List),Keywords,Note,,,,,,,,
75,Designing Drone Chi Unpacking the Thinking and Making of Somaesthetic Human-Drone Interaction,DIS,2020,Cameron J. Turner,√,,,,,,,,√,,√,,,,,√,√,assist,感官迁移设计,Education and Service Industries,Application,,,,,,,,,,
76,Analogies to Succeed: Application to a Service Design Problem ,Design Society,2014,Diana P. Moreno,√,√,√,,√,√,√,√,,,√,√,,,,√,,assist,金融服务设计,Education and Service Industries,Application,,,,,,,,,,
77,Extending and Automating a Systems-Theoretic Hazard Analysis for Requirements Generation and Analysis,Massachusetts Institute of Technology,2013,JP Thomas,√,√,√,√,,,,,,√,√,,,√,√,√,,augment,基于需求自动危险检测并生成合适的,Intelligent Manufacturing,Application,,,,,,,,,,
80,A robotic platform for flow synthesis of organic compounds informed by AI planning,science,2019,caley,,√,√,√,,,,,√,√,√,,,,,√,√,automate,生产线中的智能解决方案和设备,Intelligent Manufacturing,Application,,,,,,,,,,
82,Energy Optimization Using a Case-Based Reasoning Strategy,Sensors,2018,Alfonso González-Briones,√,√,√,√,,,,,√,√,,,,,√,√,,automate,生产线中的智能解决方案和设备,Intelligent Manufacturing,Application,,,,,,,,,,
85,Monitoring elderly people at home with temporal Case-Based Reasoning,Knowledge-Based Systems,2017,Eduardo Lupiani,,√,,√,,,,,,√,√,,,,√,√,,automate,定制化创新服务设计,Education and Service Industries,Application,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
